name,state,lat,lon,population,country
Aurora,IL,41.7638,-88.2902,179898,US
Cary,NC,35.7819,-78.8195,179306,US
Elk Grove,CA,38.4161,-121.3842,179155,US
Panama City,FL,30.1995,-85.6003,177998,US
Rancho Cucamonga,CA,34.1247,-117.5667,175411,US
High Point,NC,35.991,-79.9937,175377,US
Danbury,CT,41.4015,-73.4709,174548,US
Salinas,CA,36.6883,-121.6317,173715,US
Pembroke Pines,FL,26.0128,-80.3382,173194,US
Sherbrooke,QC,45.4,-71.9,172950,CA
Vallejo,CA,38.1125,-122.2342,172800,US
Oceanside,CA,33.2247,-117.3083,172242,US
Leesburg,FL,28.7672,-81.8962,171283,US
Garden Grove,CA,33.7787,-117.9601,170964,US
Muskegon,MI,43.2281,-86.2562,170561,US
Medford,OR,42.3372,-122.854,170502,US
Tuscaloosa,AL,33.2348,-87.5268,170416,US
Lancaster,CA,34.6935,-118.1753,169169,US
Visalia,CA,36.3276,-119.3269,167944,US
Manchester,NH,42.9848,-71.4447,167888,US
Norwich,CT,41.5495,-72.0882,166930,US
Bayamon,PR,18.3794,-66.1635,166923,US
Marysville,WA,48.0809,-122.1561,166250,US
Sudbury,ON,46.49,-81.01,166004,CA
Lafayette,IN,40.3991,-86.8593,165110,US
Palmdale,CA,34.5944,-118.1057,164634,US
Santa Cruz,CA,36.9789,-122.0346,163368,US
Odessa,TX,31.8801,-102.3448,160628,US
New Bedford,MA,41.6697,-70.9428,160431,US
Merced,CA,37.3057,-120.4779,159942,US
Corona,CA,33.8616,-117.5649,159670,US
Hayward,CA,37.6328,-122.0766,158801,US
Paterson,NJ,40.9147,-74.1624,158735,US
Binghamton,NY,42.1014,-75.9093,157696,US
Springfield,IL,39.7709,-89.654,157178,US
Alexandria,VA,38.8185,-77.0861,156976,US
Lakewood,CO,39.6977,-105.1172,156583,US
Macon,GA,32.8065,-83.6974,156578,US
Roseville,CA,38.7703,-121.3196,155955,US
Kansas City,KS,39.1235,-94.7443,155135,US
Hollywood,FL,26.0293,-80.1679,155082,US
Surprise,AZ,33.6815,-112.4515,154948,US
Barrie,ON,44.3711,-79.6769,154676,CA
Sunnyvale,CA,37.3836,-122.0255,154236,US
Champaign,IL,40.1142,-88.2737,153687,US
Lake Charles,LA,30.201,-93.2111,153662,US
Abbotsford,BC,49.05,-122.3167,153524,CA
Burlington,NC,36.076,-79.4685,152375,US
Bellevue,WA,47.5951,-122.1535,151847,US
Fairfield,CA,38.2583,-122.0335,151672,US
Naperville,IL,41.748,-88.1659,150692,US
Joliet,IL,41.5188,-88.1499,150445,US
Elkhart,IN,41.6916,-85.9627,149701,US
Levis,QC,46.8,-71.1833,149683,CA
Escondido,CA,33.1348,-117.0723,149668,US
Pasadena,TX,29.6575,-95.1498,149433,US
Mesquite,TX,32.7602,-96.5865,149299,US
Midland,TX,32.0243,-102.1147,148848,US
Columbia,MO,38.9472,-92.3268,148781,US
Coquitlam,BC,49.2839,-122.7919,148625,CA
Warner Robins,GA,32.5961,-83.6527,148466,US
St. George,UT,37.0758,-113.5752,148405,US
Pomona,CA,34.0585,-117.7626,147943,US
Topeka,KS,39.0346,-95.6955,147144,US
Beaumont,TX,30.0849,-94.1451,146974,US
South Lyon,MI,42.4614,-83.6526,146383,US
Yuma,AZ,32.5995,-114.5491,145839,US
Olathe,KS,38.8833,-94.82,145057,US
Santa Maria,CA,34.9333,-120.4431,144941,US
Saguenay,QC,48.4167,-71.0667,144723,CA
Guelph,ON,43.55,-80.25,144356,CA
Thornton,CO,39.9197,-104.9438,144187,US
Athens,GA,33.9508,-83.3689,143681,US
Torrance,CA,33.8346,-118.3416,142130,US
Fullerton,CA,33.8841,-117.9279,140968,US
Grand Junction,CO,39.0877,-108.5673,140777,US
Greeley,CO,40.4152,-104.7706,139842,US
Metairie,LA,29.9977,-90.178,139729,US
Las Cruces,NM,32.3265,-106.7893,139530,US
Houma,LA,29.58,-90.7059,139352,US
Trois-Rivieres,QC,46.35,-72.55,139163,CA
Carolina,PR,18.4054,-65.9792,138633,US
Miramar,FL,25.9773,-80.3351,138600,US
Whitby,ON,43.8833,-78.9417,138501,CA
Cambridge,ON,43.3972,-80.3114,138479,CA
West Valley City,UT,40.6886,-112.0123,138437,US
Orange,CA,33.8038,-117.8218,138266,US
Warren,MI,42.4934,-83.027,137928,US
